Year,Unnamed: 0,age,gp,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,fouls,pts,selection
2001,12706.0,27.662131519274375,54.358276643990926,26.961451247165535,20.685941043083904,2.946485260770972,6.736961451247167,0.42269841269841263,0.39138321995464814,1.1217687074829934,0.22106575963718827,2.553968253968253,5.609977324263044,0.43537641723355985,0.448687074829932,1.5287981859410427,2.0693877551020408,0.6865600907029484,1.0333333333333339,2.584353741496599,3.6188208616780067,1.8235827664399116,0.670748299319727,0.43854875283446687,1.2331065759637179,1.9814058956916103,7.811791383219956,24.582766439909296
2002,13146.5,27.20909090909091,54.33863636363636,27.022727272727273,20.832045454545465,3.0320454545454547,6.9075000000000015,0.42654545454545467,0.4225,1.2275,0.2156886363636364,2.607045454545456,5.678636363636363,0.44355000000000044,0.4529750000000003,1.4965909090909089,2.0065909090909098,0.7042704545454546,1.0570454545454546,2.578863636363635,3.6334090909090895,1.841590909090909,0.6688636363636358,0.4481818181818177,1.2020454545454538,1.9045454545454563,7.982045454545448,25.113636363636363
2003,13580.5,27.07943925233645,55.9322429906542,27.7803738317757,20.564953271028045,2.9546728971962604,6.772663551401872,0.4165490654205606,0.4137850467289717,1.2028037383177574,0.2115934579439252,2.538084112149529,5.571495327102803,0.4329672897196258,0.44233878504672886,1.5261682242990653,2.0285046728971956,0.7023644859813082,1.0481308411214956,2.5495327102803733,3.593691588785046,1.7829439252336439,0.6724299065420569,0.4336448598130836,1.2189252336448597,1.9285046728971962,7.8490654205607395,24.287383177570092
2004,14015.5,27.004524886877828,54.05882352941177,26.900452488687783,20.589366515837117,2.911312217194568,6.725791855203629,0.4194389140271496,0.42058823529411726,1.2314479638009055,0.21197737556561094,2.4902714932126693,5.499773755656111,0.4338076923076925,0.4465859728506791,1.5038461538461532,2.0196832579185524,0.7003574660633487,1.0400452488687781,2.546606334841628,3.58348416289593,1.758597285067873,0.6692307692307695,0.4171945701357459,1.235972850678733,1.9079185520361976,7.745248868778281,25.217194570135746
2005,14468.5,26.85560344827586,53.7823275862069,26.50862068965517,20.71530172413793,2.99935344827586,6.790732758620689,0.431034482758621,0.458405172413793,1.3163793103448287,0.2183943965517241,2.5420258620689666,5.476293103448278,0.44869612068965514,0.4600366379310347,1.6303879310344838,2.1808189655172416,0.7014956896551723,1.0374999999999994,2.538146551724138,3.5775862068965547,1.7741379310344811,0.6463362068965508,0.41336206896551664,1.1931034482758611,2.026293103448276,8.088146551724138,24.995689655172413
2006,14929.5,26.449781659388645,54.40174672489083,26.85589519650655,20.50873362445416,2.956113537117903,6.583624454148469,0.43694104803493455,0.4604803493449779,1.3041484716157208,0.22255458515283838,2.4949781659388637,5.278165938864631,0.45527729257641963,0.46656331877729224,1.6122270742358091,2.185371179039301,0.6926943231441046,0.9528384279475989,2.534497816593885,3.4831877729257608,1.6890829694323142,0.6034934497816598,0.39672489082969387,1.1805676855895202,2.0015283842794753,7.9823144104803525,23.66812227074236
2007,15387.5,26.395196506550217,54.77292576419214,26.85589519650655,20.642139737991272,3.0327510917030573,6.6997816593886474,0.43636244541484714,0.5008733624454147,1.41288209606987,0.22094104803493458,2.533842794759826,5.28864628820961,0.45521834061135347,0.4700065502183409,1.641703056768559,2.2056768558951974,0.7063973799126637,0.9635371179039305,2.5408296943231456,3.5030567685589498,1.7661572052401744,0.616593886462882,0.39039301310043595,1.251091703056767,1.9711790393013098,8.208733624454148,23.866812227074234
2008,15841.5,26.74222222222222,55.27777777777778,27.333333333333332,20.635555555555555,3.0902222222222213,6.848444444444439,0.4416022222222222,0.5393333333333331,1.5173333333333345,0.22551999999999991,2.5484444444444474,5.32911111111111,0.46259111111111106,0.4771800000000001,1.5635555555555543,2.098222222222223,0.7035822222222216,0.971555555555556,2.612888888888888,3.583555555555553,1.822222222222222,0.6195555555555554,0.41466666666666563,1.1613333333333336,1.8651111111111105,8.283333333333331,24.448888888888888
2009,16288.5,26.513513513513512,55.46621621621622,27.7027027027027,21.072072072072064,3.1740990990990965,7.0029279279279315,0.4459617117117115,0.5578828828828827,1.5452702702702699,0.2455270270270271,2.6157657657657665,5.454279279279276,0.46518693693693675,0.48252252252252237,1.6137387387387392,2.11936936936937,0.7101238738738744,0.9885135135135142,2.642567567567568,3.628153153153155,1.7759009009009012,0.62972972972973,0.4344594594594587,1.173423423423423,1.8975225225225225,8.518468468468473,25.114864864864863
2010,16731.5,26.626696832579185,56.13800904977376,27.828054298642535,21.144117647058806,3.2194570135746576,7.031221719457006,0.4514524886877827,0.5502262443438911,1.5662895927601819,0.23329185520361986,2.6699095022624433,5.463122171945697,0.47780995475113097,0.48724208144796344,1.5884615384615393,2.113122171945701,0.7047239819004528,0.9848416289592762,2.675113122171943,3.6576923076923067,1.8047511312217197,0.625113122171945,0.42828054298642465,1.1843891402714937,1.8977375565610846,8.571266968325789,24.282805429864254
