season,age,gp,goals,assists,points,plusmin,plm,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,toi,hits,faceoff_wins,faceoff_losses,block,faceoff_pct,shot_pct,gpg,toi_avg
1985,24.620462046204622,49.68481848184818,10.775577557755776,17.864686468646866,28.64026402640264,-0.3184818481848185,50.37458745874587,7.922442244224422,2.4719471947194718,0.3811881188118812,1.216171617161716,12.894389438943895,4.570957095709571,0.39933993399339934,84.57095709570957,0.0,0.0,0.0,0.0,0.0,0.0,10.463696369636963,0.17731254125412552,0.0
1986,24.567043618739902,48.65266558966074,10.770597738287561,17.70113085621971,28.47172859450727,-0.4087237479806139,57.24071082390953,7.615508885298869,2.7722132471728593,0.38287560581583197,1.2294022617124394,12.337641357027463,5.009693053311794,0.35379644588045234,84.27948303715671,0.0,0.0,0.0,0.0,0.0,0.0,10.520193861066236,0.17895444264943464,0.0
1987,24.866129032258065,48.693548387096776,9.943548387096774,16.338709677419356,26.282258064516128,-0.4290322580645161,59.47741935483871,7.146774193548387,2.445161290322581,0.35161290322580646,1.2048387096774194,11.470967741935484,4.517741935483871,0.35,81.30806451612904,0.0,0.0,0.0,0.0,0.0,0.0,10.29516129032258,0.16353306451612912,0.0
1988,24.827637444279347,44.864784546805346,9.265973254086182,15.304606240713225,24.570579494799407,-0.43536404160475484,64.39524517087668,6.109955423476968,2.760772659732541,0.3952451708766716,1.1040118870728084,9.803863298662705,5.127786032689451,0.37295690936106984,75.98662704309064,0.0,0.0,0.0,0.0,0.0,0.0,10.225854383358097,0.16294160475482916,0.0
1989,25.046757164404223,45.515837104072396,9.481146304675717,15.710407239819004,25.19155354449472,-0.5037707390648567,62.48567119155354,6.408748114630468,2.6817496229260933,0.39064856711915535,1.1221719457013575,10.360482654600302,4.972850678733032,0.39215686274509803,76.95927601809954,0.0,0.0,0.0,0.0,0.0,0.0,9.377073906485672,0.15740361990950233,0.0
1990,25.332824427480915,46.138931297709924,9.448854961832062,15.699236641221374,25.148091603053434,-0.4732824427480916,60.30839694656488,6.661068702290076,2.4412213740458015,0.3465648854961832,1.1297709923664123,10.754198473282443,4.601526717557252,0.3435114503816794,77.62748091603054,0.0,0.0,0.0,0.0,0.0,0.0,9.75114503816794,0.1565004580152672,0.0
1991,25.32321699544765,45.880121396054626,8.808801213960546,14.688922610015174,23.497723823975722,-0.3884673748103187,59.694992412746586,6.197268588770865,2.265553869499241,0.34597875569044007,1.1047040971168438,10.098634294385432,4.241274658573596,0.3490136570561457,75.99696509863429,0.0,0.0,0.0,0.0,0.0,0.0,9.798179059180576,0.15206206373292877,0.0
1992,25.699576868829336,44.65162200282087,8.6361071932299,14.411847672778562,23.047954866008464,-0.44710860366713684,60.56981664315938,5.887165021156559,2.397743300423131,0.3511988716502116,1.076163610719323,9.576868829337094,4.458392101551481,0.3765867418899859,75.72355430183357,0.0,0.0,0.0,0.0,0.0,0.0,9.011283497884344,0.14725557122708033,0.0
1993,25.834965034965034,50.66293706293706,10.225174825174825,17.096503496503498,27.321678321678323,-0.5202797202797202,62.65034965034965,6.8783216783216785,2.9104895104895103,0.43636363636363634,1.26993006993007,11.15944055944056,5.5048951048951045,0.43216783216783217,87.36223776223777,0.0,0.0,0.0,0.0,0.0,0.0,9.686713286713287,0.1628475524475524,0.0
1994,25.944374209860936,49.63969658659924,8.951959544879898,14.850821744627055,23.802781289506953,-0.4879898862199747,56.420986093552465,6.0695322376738305,2.4943109987357777,0.38811630847029077,1.2035398230088497,9.88495575221239,4.5600505689001265,0.40581542351453853,83.65360303413401,0.0,0.0,0.0,0.0,0.0,0.0,8.766118836915297,0.14691238938053117,0.0
1995,26.182926829268293,30.41869918699187,5.0501355013550135,8.361788617886178,13.411924119241192,-0.26287262872628725,32.57181571815718,3.5474254742547426,1.3075880758807588,0.1951219512195122,0.7439024390243902,5.71409214092141,2.44579945799458,0.2018970189701897,49.68563685636856,0.0,0.0,0.0,0.0,0.0,0.0,8.791327913279133,0.14161707317073174,0.0
1996,26.041184041184042,49.333333333333336,8.622908622908623,14.303732303732303,22.92664092664093,-0.510939510939511,53.90604890604891,5.7528957528957525,2.48005148005148,0.38996138996138996,1.1956241956241955,9.28957528957529,4.625482625482626,0.3886743886743887,83.01544401544402,0.0,0.0,0.0,0.0,0.0,0.0,8.476190476190476,0.14026499356499356,0.0
1997,26.336801040312093,49.85825747724317,8.083224967490247,13.322496749024708,21.405721716514954,-0.4928478543563069,50.70351105331599,5.88556566970091,1.8504551365409623,0.3472041612483745,1.1976592977893368,9.537061118335501,3.4330299089726917,0.35240572171651496,82.62938881664499,0.0,0.0,0.0,0.0,0.0,0.0,7.77373211963589,0.1315046814044214,0.0
1998,26.363517060367453,50.34514435695538,7.380577427821522,12.20734908136483,19.587926509186353,-0.45931758530183725,52.120734908136484,5.082677165354331,1.9566929133858268,0.34120734908136485,1.1824146981627297,8.198162729658792,3.652230971128609,0.35826771653543305,76.49606299212599,0.0,0.0,0.0,0.0,0.0,0.0,7.9934383202099735,0.11993412073490811,0.0
1999,26.685503685503686,48.91277641277641,7.160933660933661,12.003685503685503,19.164619164619165,-0.36363636363636365,42.7997542997543,5.007371007371007,1.8832923832923834,0.2702702702702703,1.1597051597051597,8.202702702702704,3.5356265356265357,0.26535626535626533,75.79361179361179,796.3488943488943,0.0,0.0,0.0,0.0,0.0,7.385749385749386,0.11775270270270255,14.489729614047327
2000,26.655131264916466,49.27804295942721,7.523866348448688,12.647971360381861,20.171837708830548,-0.34725536992840095,37.599045346062056,5.48090692124105,1.7852028639618138,0.2577565632458234,1.194510739856802,9.021479713603819,3.360381861575179,0.26610978520286394,76.64797136038186,806.1622911694511,0.0,0.0,0.0,0.0,0.0,7.829355608591886,0.1209942720763722,14.812203725783675
2001,26.80316742081448,50.05429864253394,7.670814479638009,13.013574660633484,20.68438914027149,-0.4434389140271493,41.46266968325792,5.245475113122172,2.1233031674208145,0.3020361990950226,1.2194570135746607,8.657239819004525,4.038461538461538,0.3178733031674208,77.10633484162896,815.960407239819,0.0,0.0,0.0,0.0,0.0,7.829185520361991,0.1219402714932127,14.726118001878392
2002,26.92219679633867,50.64759725400457,7.369565217391305,12.367276887871853,19.736842105263158,-0.3684210526315789,41.76086956521739,5.287185354691076,1.8306636155606408,0.2517162471395881,1.236842105263158,8.651029748283753,3.4496567505720823,0.2665903890160183,77.63272311212815,828.2311212814645,0.0,0.0,0.0,0.0,0.0,7.564073226544623,0.11470320366132726,14.629465794489173
2003,27.03490990990991,49.83896396396396,7.353603603603603,12.518018018018019,19.87162162162162,-0.36261261261261263,39.078828828828826,5.082207207207207,2.0123873873873874,0.25900900900900903,1.2083333333333333,8.423423423423424,3.820945945945946,0.2747747747747748,78.58445945945945,818.4662162162163,0.0,0.0,0.0,0.0,0.0,7.949324324324325,0.12497376126126129,14.684924967598846
2004,26.8646288209607,48.3264192139738,6.896288209606987,11.683406113537117,18.579694323144103,-0.34497816593886466,38.76091703056768,4.758733624454148,1.8722707423580787,0.2652838427947598,1.1572052401746724,7.867903930131004,3.5283842794759823,0.287117903930131,75.33515283842794,791.6386462882097,0.0,0.0,0.0,0.0,0.0,7.290393013100437,0.11277270742358082,14.594707267026408
