,season,team,name,age,gp,gs,wins,losses,ties,goals_against,shots,saves,save_pct,goals_avg,shutouts,gps,minutes,quality_starts,quality_start_pct,really_bad_starts,ga_pct_minus,gs_above_avg,goals_scored,assists,points,plm,mpg,mean_mtrc,year_mean,final_mean_mtrc
1164,1980,EDM,Don Cutts,26,0.1144531144531145,,0.023908842540147936,-0.0462121741561255,-0.03683324436414405,0.19064064928337074,0.19880691502313125,0.19989423585404548,1.7525988337295721,-0.029269860376462193,0.0,0.03325272569421338,0.1845910573633543,,,,-0.0,0.0,0.0,0.0,0.0,-0.053235783172597285,0.561686338539675,0.20551320438415155,0.6820826667505602,30.13
1167,1980,EDM,Dave Dryden,38,0.26705726705726707,,0.04781768508029587,-0.16174260954643926,-0.11049973309243216,0.6314971507511655,0.4914170927684442,0.4727657324167107,1.6775156818899735,-0.035173025494404146,0.0,0.05700467261865151,0.5084831728856711,,,,-0.7045300381561007,-0.022358356008762553,0.0,0.0,0.0,-0.0,0.6631163699187309,0.21310542714025546,0.6820826667505602,31.24
1168,1980,EDM,Bob Dupuis,27,0.019075519075519083,,0.0,-0.02310608707806275,-0.0,0.047660162320842685,0.04900170440710981,0.049180327868852465,1.7506229613127404,-0.0332053037884235,0.0,0.004750389384887625,0.040486514440289605,,,,-0.0,0.0,0.0,0.0,0.0,-0.0,0.739176365040056,0.1958046554390653,0.6820826667505602,28.71
1190,1980,EDM,Ron Low,29,0.4959634959634961,,0.3108149530219232,-0.20795478370256476,-0.11049973309243216,1.048523571058539,1.1200389578767955,1.129561078794289,1.758526450980066,-0.029351848780878056,0.0,0.18051479662572978,1.0121628610072402,,,,-0.5133784774160733,0.011407324494266608,0.0,4.928571428571427,4.813953488372093,-0.0,0.7107493960184306,0.3351279271658324,0.6820826667505602,49.13
1196,1980,EDM,Eddie Mio,26,0.6485676485676487,,0.21517958286133143,-0.30037913201481575,-0.1841662218207203,1.4298048696252803,1.2698441684928172,1.2485457429931253,1.7150572578097725,-0.03459910666349312,0.0976582604220278,0.13776129216174113,1.1706778582226112,,,,-0.6171464675320882,-0.02553339465966676,0.0,1.6428571428571428,1.6046511627906976,-0.03549052211506486,0.6286256490211839,0.3562183070018782,0.6820826667505602,52.23
1235,1981,EDM,Gary Edwards,33,0.2901179224299002,,0.1254091300602929,-0.07271906052393856,-0.12863327149041437,0.4864181933038534,0.4477086470944902,0.4422368567920527,1.7164071157411984,-0.02702282780198621,0.0,0.10138822297942734,0.5067067047160712,,,,-0.6244799988628272,-0.004914202043906908,,2.1538461538461537,2.1538461538461537,-0.0,0.6004249828568614,0.21874567548494148,0.6346402394002943,34.47
1255,1981,EDM,Pete LoPresti,26,0.03868238965732002,,0.0,-0.024239686841312856,-0.0,0.08843967150979154,0.06161128171025095,0.057818953008148224,1.631082831374873,-0.03431824687800452,0.0,0.009656021236135938,0.0723866721022959,,,,-0.0,0.0,,0.0,0.0,-0.0,0.6433169000176538,0.18653896555221175,0.6346402394002943,29.39
1257,1981,EDM,Ron Low,30,0.46418867588784035,,0.1254091300602929,-0.31511592893706714,-0.09647495361781078,1.0281111813013266,0.8858333170340525,0.8657216207165979,1.698548544594758,-0.03305271499747074,0.0,0.11587225483363126,0.8756003221604637,,,,-0.664584218973284,-0.01807022294430911,,3.2307692307692313,3.2307692307692313,-0.0,0.6484758066966416,0.28488451892343997,0.6346402394002943,44.89
1264,1981,EDM,Eddie Mio,27,0.8316713776323806,,0.4013092161929373,-0.3635953026196928,-0.28942486085343233,1.713518635502211,1.5950476264987188,1.5783011496818842,1.7203756871070737,-0.02903279020048105,0.0,0.29933665832021406,1.6614133298863492,,,,-0.6130216502598396,-0.01505149883162344,,5.384615384615384,5.384615384615384,-0.08587735801386871,0.6867655337265385,0.4243905970304484,0.6346402394002943,66.87
1265,1981,EDM,Andy Moog,20,0.13538836380062008,,0.07524547803617572,-0.07271906052393856,-0.0,0.22109917877447885,0.2327537309053925,0.2344011608438442,1.7501399723511408,-0.02843724578611221,0.0,0.038624084944543745,0.21855206769347027,,,,-0.0,0.0,,1.0769230769230769,1.0769230769230769,-0.0,0.5549474266171519,0.21673806060548884,0.6346402394002943,34.15
1304,1982,EDM,Grant Fuhr*,19,0.8767926089354663,,0.6458932652238206,-0.1114655293951783,-0.4732487589630448,1.5628959276018102,1.9445626545517285,2.0001317609855715,1.7689781486102447,-0.025665134613888373,0.0,0.44935119776553845,1.864106615783668,,,,-0.48728517482790684,0.03993001312253966,,5.739130434782608,5.739130434782608,-0.07612801580365637,0.7456713750130444,0.4718410210175874,0.6038462070341194,78.14
1322,1982,EDM,Ron Low,31,0.5297288678985109,,0.39214948245731956,-0.15605174115324966,-0.03380348278307463,0.9954751131221721,1.0058082695957216,1.0073127346992554,1.7217003361752277,-0.02992973402102994,0.0,0.19971164345135034,1.0192898243940254,,,,-0.6030154038495349,0.0010831302464121347,,0.0,0.0,-0.025376005267885453,0.6748673540982468,0.33028306940855157,0.6038462070341194,54.7
1331,1982,EDM,Andy Moog,21,0.14613210148924438,,0.06920284984540935,-0.1114655293951783,-0.0,0.318552036199095,0.2542986945770315,0.2449436721786679,1.656693344077078,-0.037373398440767966,0.0,0.031772306912714834,0.2610536358486629,,,,-0.0,0.0,,0.9565217391304348,0.9565217391304348,-0.025376005267885453,0.6265563928337211,0.2205034526351296,0.6038462070341194,36.52
1373,1983,EDM,Grant Fuhr*,20,0.5868353947824148,,0.2954564728138557,-0.2635719905586152,-0.19994949610890478,1.3547021943573667,1.2702723811383383,1.2582580573212891,1.7320775859084223,-0.031780486351487836,0.0,0.17534622276503115,1.1978791914293097,,,,-0.631545246084423,-0.005934810603028225,,0.0,0.0,-0.06762128676499023,0.7299403760529163,0.3520290499095393,0.615253278240826,57.22
1389,1983,EDM,Ron Low,32,0.25674048521730647,,0.04545484197136242,-0.17571466037241013,-0.03998989922178096,0.5355799373040753,0.5193595626281363,0.5170514107282257,1.7420664993219657,-0.031928302567076156,0.0,0.06921561424935439,0.4714277195841863,,,,-0.6079360780065007,-0.0011367672050576455,,1.0,1.0,-0.04508085784332682,0.656607459353102,0.21768085767798753,0.615253278240826,35.38
1396,1983,EDM,Lindsay Middlebrook,27,0.18338606086950462,,0.0227274209856812,-0.1317859952793076,-0.03998989922178096,0.4200626959247649,0.3309772527579811,0.3183004349280696,1.6821330188407055,-0.037693134975020456,0.0,0.023071871416451468,0.3136192880284629,,,,-0.0,0.0,,1.0,1.0,-0.022540428921663413,0.6115404349435666,0.23090799320197566,0.615253278240826,37.53
1400,1983,EDM,Andy Moog,22,0.9169303043475232,,0.7500048925274797,-0.17571466037241013,-0.2799292945524667,1.7537617554858933,2.0015620423703995,2.036823909891825,1.7800243702934304,-0.026163470159131848,0.125,0.4014505626462555,1.884379161614756,,,,-0.5194016977142919,0.017420588337247033,,4.0,4.0,-0.18032343137330725,0.734887231800549,0.49479395541184973,0.615253278240826,80.42
1442,1984,EDM,Grant Fuhr*,21,0.8518456991739436,,0.6736166800320772,-0.21699984904358322,-0.24679639297579498,1.8409720086127344,1.9955152578726725,2.017953241185271,1.7963212945933944,-0.02835486377267727,0.13059701492537312,0.4292240185493278,1.8066693561877023,,,,-0.5396968779024336,0.016786918012975695,,13.424657534246574,13.424657534246574,-0.05884574411119817,0.746566368063822,0.5021760731010451,0.5836740682397192,86.04
1471,1984,EDM,Andy Moog,23,0.7193363681913303,,0.6062550120288694,-0.17359987923486656,-0.061699098243948744,1.4964626268840358,1.6065126255240323,1.6224906772659269,1.79428695564142,-0.027412118941360638,0.13059701492537312,0.3375919247017186,1.5201369687785966,,,,-0.5455631483144165,0.011955561121436352,,0.9589041095890408,0.9589041095890408,-0.039230496074132114,0.7438766849796483,0.4543645664934488,0.5836740682397192,77.85
1495,1985,EDM,Marco Baron,25,0.018044978353688394,,0.0,-0.02096036585365853,-0.0,0.020535158680771624,0.011582559862725215,0.010299625468164795,1.5379458326812396,-0.029572793569240717,0.0,0.0,0.02074370911662443,,,,-0.0,0.0,,0.0,0.0,-0.0,0.40800578565919243,0.15036479269758596,0.6091502161679364,24.68
1512,1985,EDM,Grant Fuhr*,22,0.8300690042696661,,0.5639029322548028,-0.16768292682926822,-0.33673469387755106,1.6941505911636592,1.8377661648857344,1.8583467094703048,1.7474860103987353,-0.0308481701113104,0.13892078071182548,0.3947410521997741,1.657552006600271,,,,-0.5384706833077197,0.014498147586462654,,4.304347826086956,4.304347826086956,-0.06126880416283575,0.7087443002324227,0.46547358575954856,0.6091502161679364,76.41
1536,1985,EDM,Andy Moog,24,0.7037541557938473,,0.4771486349848332,-0.1886432926829268,-0.14431486880466474,1.1397013067828252,1.3551595039388504,1.3860353130016052,1.7692307458222485,-0.026304641180187157,0.13892078071182548,0.32668225009636487,1.3075019152572336,,,,-0.49164714562878753,0.021742039768690952,,0.0,0.0,-0.08169173888378098,0.6594138507100662,0.3949496429048273,0.6091502161679364,64.84
1540,1985,EDM,Daryl Reaugh,19,0.018044978353688394,,0.0,-0.02096036585365853,-0.0,0.05133789670192906,0.04504328835504251,0.044141252006420544,1.694112568904656,-0.04017436107519493,0.0,0.0045372534735606245,0.038894454593670816,,,,-0.0,0.0,,0.0,0.0,-0.0,0.7650108481109857,0.1931387133238182,0.6091502161679364,31.71
1559,1985,EDM,Mike Zanier,22,0.05413493506106518,,0.02168857431749242,-0.02096036585365853,-0.04810495626822159,0.12321095208462975,0.12869510958583574,0.12948100588550027,1.7395788338810938,-0.031007592179069104,0.0,0.027223520841363726,0.119924568330485,,,,-0.0,0.0,,0.0,0.0,-0.0,0.7862653995076694,0.21155886887733522,0.6091502161679364,34.73
1578,1986,EDM,Grant Fuhr*,23,0.7288064338307453,,0.6267396021147206,-0.16708866168819372,-0.0,1.4843535338116318,1.6917697686928457,1.7216324915935914,1.768589356407646,-0.030099381463560778,0.0,0.3887093799237375,1.461465758279841,,,,-0.48806164558657045,0.05221891805192414,,2.9142857142857146,2.9142857142857146,-0.0,0.6985561755484319,0.4536499897781256,0.5627094437631136,80.62
